Fund Name,Dist (inc) / Accum,Main Currency,CUSIP,ISIN,Fund Family,Share,Net Expense Ratio,Morningstar Category,Asset Class,Sub Asset Class,Investment Area,Morningstar Rating overall,% Equity  USA ,% USA FI,Upload Date
Aberdeen Standard SICAV I  Select Euro High Yield Bond Fund,,,L0188D490         ,LU1036028238         ,Aberdeen Standard,I Acc Hedged USD,,,unknown,,,,,,9/4/2020
AB US GOVERNMENT MONEY MKT.OPTION ,,,L00215902,XX0079474963,Alliance Bernstein, A,,,unknown,,,,,,9/4/2020
AB US GOVERNMENT MONEY MKT.OPTION ,,,L00215910,XX0079475770,Alliance Bernstein, B,,,unknown,,,,,,9/4/2020
AB US GOVERNMENT MONEY MKT.OPTION ,,,L00215928,XX0054403193,Alliance Bernstein, C,,,unknown,,,,,,9/4/2020
AB US GOVERNMENT MONEY MKT.OPTION ,,,L00215936,XX0079475341,Alliance Bernstein, I,,,unknown,,,,,,9/4/2020
EMERGING MARKET LOCAL CURRENCY DEBT ,,,L5529D810,LU0800108853,Alliance Bernstein, B2,,,unknown,,,,,,9/4/2020
EMERGING MARKET LOCAL CURRENCY DEBT ,,,L5529D828,LU0800109075,Alliance Bernstein, BT,,,unknown,,,,,,9/4/2020
EMERGING MARKET LOCAL CURRENCY DEBT ,,,L5529D836,LU0800109158,Alliance Bernstein, CT,,,unknown,,,,,,9/4/2020
EMERGING MARKET LOCAL CURRENCY DEBT ,,,L5529D844,LU0800109232,Alliance Bernstein, IT,,,unknown,,,,,,9/4/2020
EUROPEAN INCOME ,,,L0024M175,LU0447425199,Alliance Bernstein, CT,,,unknown,,,,,,9/4/2020
US HIGH YIELD ,,,L5529V208,LU1120829566,Alliance Bernstein, AT,,,unknown,,,,,,9/4/2020
US HIGH YIELD ,,,L5529V224,LU1278600686,Alliance Bernstein,CT,,,unknown,,,,,,9/4/2020
US HIGH YIELD ,,,L5529V307,LU1120829723,Alliance Bernstein, IT,,,unknown,,,,,,9/4/2020
Allianz China AShares  AT  USD,,,L0176S129,LU0411150922,Allianz,AT,,,unknown,,,,,,9/4/2020
Allianz China AShares  RT  USD,,,L016DD548,LU1807385924,Allianz,RT,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS ASIA EQUITY CONCENTRATED,,,L2019J431,LU0194906615,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EQUITY ASEAN,,,L2043E648,LU0297163072,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EQUITY EMERGING CONSERVATIVE,,,,LU0945153350,Amundi Pioneer,I8,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROLAND EQUITY SMALL CAP,,,L0216G499,LU1049754887,Amundi Pioneer,A USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROLAND EQUITY SMALL CAP,,,L0216J527,LU1103155039,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROPEAN EQUITY CONSERVATIVE,,,L02197439,LU1399296240,Amundi Pioneer,A USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROPEAN EQUITY CONSERVATIVE,,,L02197454,LU1399296679,Amundi Pioneer,F2 USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS EUROPEAN EQUITY CONSERVATIVE,,,L02197496,LU1399296323,Amundi Pioneer,G USD,,,unknown,,,,,,9/4/2020
AMUNDI FUNDS GLOBAL CORPORATE BOND,,,L1306M354,LU0319688528,Amundi Pioneer,I USD,,,unknown,,,,,,9/4/2020
